"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000200429537074688,-0.843953957424167,0.073,0.14,1,"1","SMAD1"
0.00020303939832863,0.283863378230777,0.72,0.711,1,"1","IFI6"
0.000203923980696953,-0.447260021648,0.144,0.232,1,"1","IL4I1"
0.000205628821024541,-0.314489196949809,0.305,0.422,1,"1","CNOT6L"
0.000207253140255949,0.497732446178661,0.462,0.416,1,"1","SMAD7"
0.000209359763492509,-0.863624150054212,0.062,0.125,1,"1","JPH4"
0.000209401330685416,-0.863282070281842,0.069,0.132,1,"1","FBXL22"
0.000212124909642428,0.737587736024121,0.234,0.168,1,"1","FAM3B"
0.000214530404792937,-0.324198671664172,0.228,0.329,1,"1","RASA3"
0.000215424927522974,0.583481786512151,0.4,0.35,1,"1","ESRP2"
0.000215501019544274,-0.354319478244,0.469,0.581,1,"1","MRC1"
0.000216394892801821,0.499960685313855,0.467,0.411,1,"1","NTN4"
0.000221620233125298,-0.361983787329841,0.108,0.187,1,"1","ZNF154"
0.000224392451501649,0.659744155989574,0.359,0.305,1,"1","EDNRB"
0.000225042629238476,-0.53640982321585,0.133,0.216,1,"1","SLC7A8"
0.000225407472951317,-0.522480775449204,0.153,0.239,1,"1","KIAA1841"
0.000226164071717521,1.10742782567815,0.127,0.077,1,"1","LRP2"
0.000228936649573241,-0.429189973882546,0.196,0.289,1,"1","GULP1"
0.000228954410622495,-0.348051094729973,0.166,0.258,1,"1","APPBP2"
0.000229533420967916,-0.477014612632505,0.178,0.27,1,"1","MICU3"
0.000229703000511269,-0.269886631703626,0.529,0.657,1,"1","GBP5"
0.000230020561063015,-0.788280249313483,0.052,0.11,1,"1","ACHE"
0.000230127472434101,-0.675314745366979,0.092,0.161,1,"1","BHMT2"
0.000234097658517878,-0.554332056668454,0.105,0.181,1,"1","CBX8"
0.000235116108595285,-0.293914875561275,0.443,0.547,1,"1","CD276"
0.00023701939893508,-0.302411578365697,0.462,0.581,1,"1","FAM214A"
0.000239051052204522,-0.340230604118648,0.508,0.608,1,"1","KYNU"
0.000240387655163055,-0.393692934370902,0.209,0.309,1,"1","SAP130"
0.000244735856575037,-0.333390628001419,0.29,0.407,1,"1","PRCP"
0.000247210782196309,-0.254029400159349,0.501,0.627,1,"1","BTBD7"
0.000247894996865839,-0.304845628736788,0.308,0.426,1,"1","RNASEH2B"
0.000251475405742628,-0.341285097056886,0.387,0.5,1,"1","BIN1"
0.000253633064192216,-0.286200362994061,0.68,0.757,1,"1","GM2A"
0.000254438376065369,-0.735367405475182,0.095,0.164,1,"1","NAP1L5"
0.000256627436517393,-0.268428319238788,0.346,0.467,1,"1","MSR1"
0.000257649787759416,-0.280172049843915,0.215,0.316,1,"1","LACTB"
0.000257661233651962,0.349621141627624,0.71,0.704,1,"1","ATP1A1"
